informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Architect & Interior Designer,አርክቴክት እና የውስጥ ዲዛይነር,P,Service,Architecture Construction and Related Consultations
Interior designers,የውስጥ ዲዛይነሮች,P,Service,Architecture Construction and Related Consultations
Psychologist,የሥነ ልቦና ባለሙያ,P,Service,Research and experimental development work in psychology
Social Media Manager,የማህበራዊ ሚዲያ አስተዳዳሪ,P,Service,Advertising
Content writer and Socialmedia manager,የማህበራዊ ሚዲያ,P,Service,Advertising
Paint and pattern design,የቀለም እና የንድፍ ንድፍ,U,Construction,Contractor of paint and decoration works
Paint and Plastic Factory Manager,የቀለም እና የፕላስቲክ ፋብሪካ ሥራ አስኪያጅ,P,Manufacturing,Manufacturing of plastic products
Paint artist,አርቲስት ቀለም መቀባት,U,Service,Decoration works
Paint Production Division Manager,የቀለም ማምረቻ ክፍል ሥራ አስኪያጅ,P,Manufacturing,Manufacturing of hygienic and cosmetic products
Painting and Sketching Instructor,የስዕል እና ንድፍ አስተማሪ,P,Tourism and art,Culture and Arts Education
Paints Production Manager,የቀለም ማምረቻ ሥራ አስኪያጅ,P,Manufacturing,Manufacturing of hygienic and cosmetic products
Pancake maker,የፓንኬክ ሰሪ,I,Tourism and art,"Resturant,Coffee shop"
Paper Machin Operator,የወረቀት ማሽን ኦፕሬተር,P,Manufacturing,Manufacture of paper and paper products
Paramedic/ Emergency Medical Technician,ፓራሜዲክ/ የድንገተኛ ህክምና ቴክኒሽያን,P,Health,Health
Parent Outreach Specialist,የወላጅ ስምሪት ስፔሻሊስት,P,Service,Social work services
Parking attendant,የመኪና ማቆሚያ ረዳት,I,Service,Other services
Chinese teacher,የቻይና መምህር,P,Service,Short-term language training and education
Dermatologist,የቆዳ ህክምና ባለሙያ,P,Health,Health
English teacher,የእንግሊዘኛ መምህር,P,Service,Short-term language training and education
French teacher,የፈረንሣይ መምህር,P,Service,Short-term language training and education
HR Facilitators,የሰው ኃይል አመቻቾች,P,Service,Employment agencies and recruitment agencies
Laundry Attendant,የልብስ ማጠቢያ ረዳት,I,Service,"Textile, Laundry clothes and laundry services"
Marketer/Promoter,ገበያተኛ/አስተዋዋቂ,P,Service,Business Promotion Service
Partner Experience Navigator (PEN) officer or Customer Service Officer,የአጋር ልምድ ናቪጌተር (PEN) መኮንን ወይም የደንበኛ አገልግሎት ኦፊሰር,P,Service,Business Promotion Service
Website Design and Development Project.,የድር ጣቢያ ዲዛይን እና ልማት ፕሮጀክት,P,ICT and digital work,Software Design Development and Implementation Works
Website Design project,የድር ጣቢያ ዲዛይን ፕሮጀክት,P,ICT and digital work,Software Design Development and Implementation Works
Partnership and Capacity Development Officer,አጋርነት እና አቅም ልማት ኦፊሰር,P,Service,Business Promotion Service
Partnership and Localization Advisor,የአጋርነት እና አካባቢያዊነት አማካሪ,P,Service,Business Promotion Service
"Partnership Development, Fundraising and Communications Director",የአጋርነት ልማት፣ የገቢ ማሰባሰብ እና የኮሙዩኒኬሽን ዳይሬክተር,P,Service,Business Promotion Service
Partnership Engagement Assistant,የአጋርነት ተሳትፎ ረዳት,P,Service,Business Promotion Service
Partnership Engagement Officer,የአጋርነት ተሳትፎ ኦፊሰር,P,Service,Business Promotion Service
Partnership Lead,የአጋርነት አመራር,P,Service,Business Promotion Service
Partnership Manager,አጋርነት አስተዳዳሪ,P,Service,Business Promotion Service
"Partnership, Communication and Governance Manager","አጋርነት, ኮሙኒኬሽን እና አስተዳደር አስተዳዳሪ",P,Service,Business Promotion Service
"Partnership, Grants & Communications Coordinator",ሽርክና፣ የእርዳታ እና የግንኙነት አስተባባሪ,P,Service,Business Promotion Service
Parts & service sales person,ክፍሎች እና አገልግሎት ሻጭ ሰው,P,Business,Vehicle spare parts and accessories retail trade
Parts & Service Sales Representative (P.S.S.R.),ክፍሎች እና አገልግሎት ሽያጭ ተወካይ,P,Business,Vehicle spare parts and accessories retail trade
Parts Engineer,ክፍሎች መሐንዲስ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Parts Sales Engineer,ክፍሎች የሽያጭ መሐንዲስ,P,Business,Vehicle spare parts and accessories retail trade
Parts Sales Executive,ክፍሎች ሽያጭ አስፈጻሚ,P,Business,Vehicle spare parts and accessories retail trade
Parts Tool Store Keeper,ክፍሎች መሣሪያ መደብር ጠባቂ,P,Business,Vehicle spare parts and accessories retail trade
Neurologist,የነርቭ ሐኪም,P,Health,Health
Pharmacist,ፋርማሲስት,P,Health,Health
Pharmacist/drugist,ፋርማሲስት / ፋርማሲስት,P,Health,Health
Polish teacher,የፖላንድ መምህር,P,Service,Short-term language training and education
Passenger Application Tester,የመንገደኞች ማመልከቻ ፈታሽ,U,ICT and digital work,Software Design Development and Implementation Works
Passport owning facilitator,የፓስፖርት ባለቤትነት አመቻች,U,Service,Other services
Pastoralist Community TB Project Manager,አርብቶ አደር ማህበረሰብ ቲቢ ፕሮጀክት ስራ አስኪያጅ,P,Health,Health
Patient Identification Officer,የታካሚ መታወቂያ መኮንን,U,Health,Health
Patient registration and cash handling,የታካሚ ምዝገባ እና የገንዘብ አያያዝ,U,Health,Health
Pavement / Materials Engineer,ፔቭመንት / ቁሳቁስ መሐንዲስ,P,Construction,Road Contractor
Pavement Forman,ፔቭመንት ፎርማን,I,Construction,Road Contractor
Pavement/Material Engineer,ፔቭመንት/ቁስ መሐንዲስ,P,Construction,Road Contractor
Paver Operator,የፓቨር ኦፕሬተር,P,Construction,Road Contractor
Payment and Settlement Officer,የክፍያ እና የሰፈራ ኦፊሰር,P,Service,Finance and Administration Services
Payment and System Administrator,የክፍያ እና የስርዓት አስተዳዳሪ,P,ICT and digital work,Software Design Development and Implementation Works
Payment Application Officer II,የክፍያ ማመልከቻ መኮንን II,P,Service,Finance and Administration Services
Payment gateway integrator,የክፍያ ፍኖት መጋጠሚያ,U,ICT and digital work,Software Design Development and Implementation Works
Payment integration,የክፍያ ውህደት,U,ICT and digital work,Software Design Development and Implementation Works
Payment Integration | PHP,የክፍያ ውህደት | ፒኤችፒ,U,ICT and digital work,Software Design Development and Implementation Works
Payment Integration Expert,የክፍያ ውህደት ባለሙያ,P,ICT and digital work,Software Design Development and Implementation Works
Payroll and Tax Accountant,የደመወዝ እና የታክስ አካውንታንት,P,Service,Accounting audit and adminstrative works
Payroll and Tax Manager,የደመወዝ እና የግብር አስተዳዳሪ,,Service,Accounting audit and adminstrative works
Payroll Specialist,የደመወዝ ክፍያ ባለሙያ,P,Service,Accounting audit and adminstrative works
PBF Data Officer,PBF የውሂብ ኦፊሰር,P,Service,Finance and Administration Services
PBX Call Center Solution Provider,የጥሪ ማዕከል መፍትሔ አቅራቢ,P,ICT and digital work,Software Design Development and Implementation Works
PBX Telephony Lead Engineer,የፒቢኤክስ ቴሌፎን መሪ መሐንዲስ,P,ICT and digital work,Software Design Development and Implementation Works
PC maintenance technician,ፒሲ የጥገና ቴክኒሻን,P,Service,General maintenance
PC Service Desk Technician 2,ፒሲ አገልግሎት ዴስክ ቴክኒሻን 2,P,Service,General maintenance
Peace building officer,የሰላም ግንባታ መኮንን,P,Service,Social work services
Peace Building Technical Advisor,የሰላም ግንባታ የቴክኒክ አማካሪ,P,Service,Social work services
"Peace, Gender and Social Equity Officer",የሰላም፣ የፆታ እና የማህበራዊ እኩልነት ሀላፊ,P,Service,Social work services
Peacebuilding and Advocacy Officer,የሰላም ግንባታ እና ተሟጋች ኦፊሰር,P,Service,Social work services
Peacebuilding Project Officer,የሰላም ግንባታ ፕሮጀክት ኦፊሰር,P,Service,Social work services
Peachtree and IFRS Trainer,Peachtree እና IFRS አሰልጣኝ,P,Service,Short-term language training and education
Peachtree Data inputer/Journalizer,Peachtree ውሂብ ማስገቢያ / ጋዜጠኛ,P,Service,Accounting audit and adminstrative works
Peachtree Expert,Peachtree ኤክስፐርት,P,Service,Accounting and auditing Jobs
Peanut butter Batchmaker,የኦቾሎኒ ቅቤ Batchmaker,P,Manufacturing,Manufacture of almond/ peanut/ foods
Pedagogical center coordinator,የፔዳጎጂካል ማእከል አስተባባሪ,P,Education,other
Pedagogical Center Head,የፔዳጎጂካል ማእከል ኃላፊ,P,Education,other
Pedagogical Coordinator,የትምህርት አስተባባሪ,P,Education,other
Pedagogy Center Expert Teacher,የፔዳጎጂ ማእከል ባለሙያ መምህር,P,Education,other
Pedagogy Center Officer,የፔዳጎጂ ማእከል ኦፊሰር,P,Education,other
Pediatric HIV Care and Treatment Clinical Advisor,የሕፃናት የኤችአይቪ እንክብካቤ እና ሕክምና ክሊኒካዊ አማካሪ,,Health,Health
pediatrician,የሕፃናት ሐኪም,P,Health,Health
Pediatrician Specialist,የሕፃናት ሐኪም ስፔሻሊስት,P,Health,Health
Pellet Mill Operator,Pellet Mill ኦፕሬተር,P,Manufacturing,Manufacturing of prepared animal feed
Pen tester,የብዕር ሞካሪ,U,ICT and digital work,Software Design Development and Implementation Works
Penetration Tester,የመግባት ሞካሪ,U,ICT and digital work,Software Design Development and Implementation Works
Penetration tester and cyber security manager,የፔኔትሽን ሞካሪ እና የሳይበር ደህንነት አስተዳዳሪ,U,ICT and digital work,Software Design Development and Implementation Works
People and Culture Officer,ህዝብ እና ባህል ኃላፊ,P,Service,Employment agencies and recruitment agencies
"People and Culture Specialist, Ethiopia",የህዝብ እና የባህል ባለሙያ፣ ኢትዮጵያ,P,Service,Employment agencies and recruitment agencies
Percussionist/cajon player,Percussionist / cajon ተጫዋች,P,Tourism and art,Music Band
Performance & Disciplinary Management Expert,የአፈጻጸም እና የዲሲፕሊን አስተዳደር ባለሙያ,P,Service,Employment agencies and recruitment agencies
Performance & Discipline Management Section Manager,የአፈጻጸም እና የዲሲፕሊን አስተዳደር ክፍል አስተዳዳሪ,P,Service,Employment agencies and recruitment agencies
Performance & Visual Art Teachers,የአፈጻጸም እና የእይታ ጥበብ አስተማሪዎች,P,Education,other
Performance and Visual Arts Teacher,የአፈጻጸም እና የእይታ ጥበባት መምህር,P,Education,other
Performance Assessor,የአፈጻጸም ገምጋሚ,P,Service,Employment agencies and recruitment agencies
Performance Auditor,የአፈጻጸም ኦዲተር,P,Service,Accounting audit and adminstrative works
Performance Based Financing (PBF) Data Manager,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) የውሂብ አስተዳዳሪ,P,Service,Finance and Administration Services
Performance Based Financing (PBF) Education Verification Officer,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) የትምህርት ማረጋገጫ ኦፊሰር,P,Service,Finance and Administration Services
Performance Based Financing (PBF) Finance Expert,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) የፋይናንስ ባለሙያ,P,Service,Finance and Administration Services
Performance Based Financing (PBF) Project Coordinator,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) ፕሮጀክት አስተባባሪ,P,Service,Finance and Administration Services
Performance Based Financing (PBF) Regional Focal Person,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) ክልላዊ የትኩረት ሰው,P,Service,Finance and Administration Services
Performance Management Division Manager,የአፈጻጸም አስተዳደር ክፍል አስተዳዳሪ,P,Service,Employment agencies and recruitment agencies
Performance Management Officer,የአፈጻጸም አስተዳደር ኦፊሰር,P,Service,Employment agencies and recruitment agencies
Performance Management Specialist,የአፈጻጸም አስተዳደር ስፔሻሊስት,P,Service,Employment agencies and recruitment agencies
Performance Test Lead,የአፈጻጸም ሙከራ መሪ,P,ICT and digital work,Software Design Development and Implementation Works
Performance Tester/Engineer with Loadrunner Enterprise experience.,የአፈጻጸም ሞካሪ/ኢንጂነር ከሎድሩንነር ኢንተርፕራይዝ ልምድ ጋር,P,ICT and digital work,Software Design Development and Implementation Works
persian to english translator,ከፋርስ ወደ እንግሊዝኛ ተርጓሚ,P,Service,Other services
Persinal Assistance,ቋሚ እርዳታ,P,Service,Other services
Personal body guard,የግል ጠባቂ,U,Service,Security Service
Personal Financial and Work Decision Consultant.,የግል የገንዘብ እና የስራ ውሳኔ አማካሪ,P,Service,Consulting service around social science
Personal fitness trainer,የግል የአካል ብቃት አሰልጣኝ,P,Service,Sports Services
Personal for an internet and game zone,ለበይነመረብ እና ለጨዋታ ዞን የግል,P,ICT and digital work,Internet Cafe Service
Personal for Internet cafe,ለኢንተርኔት ካፌ የግል,P,ICT and digital work,Internet Cafe Service
personal franchiser,የግል franchiser,P,Business,Other unspecified food products retail
Personal Laravel Tutor,የግል ላራቬል አስተማሪ,P,ICT and digital work,Information Communication Technology Training Service
Personal MERN Stack Tutor,የግል MERN ቁልል አስተማሪ,P,ICT and digital work,Information Communication Technology Training Service
Personal Piano Teacher,የግል ፒያኖ መምህር,P,Tourism and art,Culture and Arts Education
Personal research assistant,የግል ምርምር ረዳት,P,Service,Research and experimental development work in psychology
Personal Secretary,የግል ጸሐፊ,P,Service,Other services
Personnel & General Service Officer,የሰራተኛ እና አጠቃላይ አገልግሎት ኦፊሰር,P,Service,Employment agencies and recruitment agencies
Pest Assessor,የተባይ ገምጋሚ,P,Service,Pesticide service
Pest Control Manager,የተባይ መቆጣጠሪያ አስተዳዳሪ,P,Service,Pesticide service
Pest Control Technician,የተባይ መቆጣጠሪያ ቴክኒሻን,P,Service,Pesticide service
Pest Solution and Management Company Manager,የተባይ መፍትሄ እና አስተዳደር ኩባንያ ሥራ አስኪያጅ,P,Service,Pesticide service
Pet sheet technician,የቤት እንስሳት ወረቀት ቴክኒሻን,P,Service,Veterinary works
Pet Shop Assistant,የቤት እንስሳት ሱቅ ረዳት,P,Business,Wildlife Businesses
Pharma store keeper,የፋርማሲ መደብር ጠባቂ,P,Business,Retail of chemical and related products
Pharmaceutical business analyst (consultant).,የመድኃኒት ንግድ ተንታኝ,P,Service,Consulting around natural science
Pharmaceutical Driver,የመድኃኒት ሹፌር,P,"Logistics, transportation and communication",Road freight service
Pharmaceutical import,የመድኃኒት ማስመጣት,P,Business,Wholesale of chemical and chemical products
Pharmaceutical import and sales manager.,የመድኃኒት አስመጪ እና ሽያጭ ሥራ አስኪያጅ,P,Business,Wholesale of chemical and chemical products
Pharmacy Dispensary,የፋርማሲ ማከፋፈያ,U,Health,Health
Pharmacy Import Division Director,የፋርማሲ አስመጪ ክፍል ዳይሬክተር,P,Business,Wholesale of chemical and chemical products
Pharmacy Officer,የፋርማሲ ኦፊሰር,P,Health,Health
PHC Assessors,PHC ገምጋሚዎች,P,Health,Health
PhD _ Senior Technical Assistant,ፒኤችዲ _ ከፍተኛ የቴክኒክ ረዳት,P,Service,Research and experimental development work in engineering and technology
Phlebotomist,ፍሌቦቶሚስት,U,Health,Health
Phone Call project German+ Scottish+ Australian+ Canadian French,የስልክ ጥሪ ፕሮጀክት የጀርመን+ ስኮትላንድ+ አውስትራሊያ+ የካናዳ ፈረንሳይኛ,P,Service,Other services
Photo collage maker,የፎቶ ኮላጅ ሰሪ,P,Tourism and art,Filmmaking and related work
Photo frame producer for wall art,ለግድግዳ ጥበብ የፎቶ ፍሬም አዘጋጅ,P,Manufacturing,Manufacturing of photoframes and framing
Photo Journalist.,ፎቶ ጋዜጠኛ,P,Sport Culture and tourism,Journalism
Photo model,የፎቶ ሞዴል,P,Tourism and art,Fashion and beauty pageants
Photo to Cartoon creator,ፎቶ ለካርቶን ፈጣሪ,P,Tourism and art,Filmmaking and related work
Photo to Text Amharic Writing,ፎቶ ወደ ጽሑፍ የአማርኛ ጽሕፈት,P,ICT and digital work,Software Design Development and Implementation Works
Photoshoot director,የፎቶ ቀረጻ ዳይሬክተር,P,Tourism and art,Filmmaking and related work
PHP (Wordpress) Developer,ፒኤችፒ (Wordpress) ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
PHP (Yii Framework) Developer,PHP (Yii Framework) ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
PHP / Laravel developer,ፒኤችፒ / ላራቬል ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
PHP / Symfony Developer,ፒኤችፒ / ሲምፎኒ ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Php / Yii frame work developer,ፒኤችፒ / Yii ፍሬም ሥራ ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
PHP + Codignator Developer,ፒኤችፒ + ኮዲነተር ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
PHP and CSS DEVELOPER,PHP እና CSS ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
PHP and Ionic developer,PHP እና Ionic ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Php Script Developer,ፒኤችፒ ስክሪፕት ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
"PHP, Python, C# developers",PHP፣ Python፣ C# ገንቢዎች,P,ICT and digital work,Software Design Development and Implementation Works
Physical Inventory controller,አካላዊ ኢንቬንቶሪ መቆጣጠሪያ,P,Business,Other unspecified food products retail
Physical Rehabilitation Officer,የአካል ማገገሚያ ኦፊሰር,P,Health,Health
Physico chemical ( quality control),ፊዚኮ ኬሚካል (የጥራት ቁጥጥር),P,Service,Laboratory test
Physico chemical professional,የፊዚኮ ኬሚካል ባለሙያ,P,Service,Laboratory test
physico-chemical analyst,የፊዚዮ-ኬሚካል ተንታኝ,P,Service,Laboratory test
Physicochemical expert,የፊዚዮኬሚካል ባለሙያ,P,Service,Laboratory test
Physics Lab. Technician,የፊዚክስ ቤተ-ሙከራ. ቴክኒሻን,P,Service,Laboratory test
Physics Laboratory Technician,የፊዚክስ ላቦራቶሪ ቴክኒሻን,P,Service,Laboratory test
Physiotherapist Department Head,የፊዚዮቴራፒስት ክፍል ኃላፊ,P,Health,Health
Phyton programming,Phyton ፕሮግራሚንግ,P,ICT and digital work,Software Design Development and Implementation Works
Piano Teacher,የፒያኖ መምህር,P,Tourism and art,Culture and Arts Education
pick up driver,ሹፌር ማንሳት,P,"Logistics, transportation and communication",Road freight service
Pikanol Weaving Production Section Head,የፒካኖል ሽመና ማምረቻ ክፍል ኃላፊ,P,Manufacturing,Preparation of textile stripes; Spinning and weaving
PIN Issuing Officer II,ፒን ሰጪ ኦፊሰር II,P,Service,Other services
Pipe Production Foreman,የቧንቧ ምርት ፎርማን,P,Manufacturing,Steel tube manufacturing
Pipe Production Mixer Operator,የቧንቧ ማምረቻ ማደባለቅ ኦፕሬተር,P,Manufacturing,Steel tube manufacturing
Plan & Distribution Officer,እቅድ እና ስርጭት ኦፊሰር,P,Business,Wholesale business in specialized stores
Plan and Program Expert,እቅድ እና ፕሮግራም ኤክስፐርት,P,Service,Consulting service around social science
"Plan, Budget and Report Senior Expert","እቅድ, በጀት እና ከፍተኛ ኤክስፐርትን ሪፖርት ያድርጉ",P,Service,Finance and Administration Services
"Plan, Budget, & Reports Officer",እቅድ፣ በጀት እና ሪፖርቶች ኦፊሰር,P,Service,Finance and Administration Services
Plannig and Foreign purchasing officer,የፕላኒንግ እና የውጭ ግዢ መኮንን,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Planning & Contract Administration,እቅድ እና ውል አስተዳደር,P,Service,Finance and Administration Services
Planning & Design Division Head,እቅድ እና ዲዛይን ክፍል ኃላፊ,P,Service,Architecture Construction and Related Consultations
Planning & Engineering Officer,የእቅድ እና የምህንድስና ኦፊሰር,P,Service,Engineering Consulting Service
Planning & Supply Chain Officer,እቅድ እና አቅርቦት ሰንሰለት ኦፊሰር,P,Service,Logistics Supply and Support Services (outside of other business sectors)
"Planning , Budget Officer & CPD (Continuing Professional Development) Officer","እቅድ , የበጀት ኦፊሰር እና CPD (የቀጠለ ሙያዊ እድገት) ኦፊሰር",P,Service,Finance and Administration Services
Planning and Partnership Director,የእቅድ እና አጋርነት ዳይሬክተር,P,Service,Business Promotion Service
Planning and Process Improvement Specialist,የእቅድ እና ሂደት ማሻሻያ ባለሙያ,P,Service,Quality Management Consulting Service
planning and programming,እቅድ ማውጣት እና ፕሮግራም ማውጣት,P,Service,Media programming
Planning and Project Management Expert,የእቅድ እና የፕሮጀክት አስተዳደር ባለሙያ,P,Service,Architecture Construction and Related Consultations
Planning Officer,የእቅድ ኦፊሰር,P,Service,Finance and Administration Services
Planning officers,የእቅድ መኮንኖች,P,Service,Finance and Administration Services
Planning Unit Manager,የእቅድ ክፍል አስተዳዳሪ,P,Service,Finance and Administration Services
"Planning, Evaluation & Monitoring analyst",የእቅድ፣ ግምገማ እና ክትትል ተንታኝ,P,Service,Finance and Administration Services
"Planning, Follow-up & Reform Officer",የእቅድ፣ ክትትል እና ማሻሻያ ኦፊሰር,P,Service,Finance and Administration Services
"Planning, Marketing & Business development Division Head",እቅድ፣ ግብይት እና ንግድ ልማት ክፍል ኃላፊ,P,Service,Business Promotion Service
"Planning, Monitoring & Evaluation Coordinator",የእቅድ፣ ክትትል እና ግምገማ አስተባባሪ,P,Service,Finance and Administration Services
"Planning, Monitoring & Evaluation Division Head",የዕቅድ፣ ክትትል እና ግምገማ ክፍል ኃላፊ,P,Service,Finance and Administration Services
"Planning, Monitoring & Evaluation Expert",የእቅድ፣ ክትትል እና ግምገማ ባለሙያ,P,Service,Finance and Administration Services
"Planning, Monitoring & Evaluation senior officer",የእቅድ፣ ክትትል እና ግምገማ ከፍተኛ ኦፊሰር,P,Service,Finance and Administration Services
"Planning, Monitoring & Systems Head",የዕቅድ፣ የክትትልና የሥርዓት ኃላፊ,P,Service,Finance and Administration Services
"Planning, Monitoring and Evaluation Engineer","እቅድ, ክትትል እና ግምገማ መሐንዲስ",P,Service,Engineering Consulting Service
"Planning, Monitoring and Evaluation Senior Officer","እቅድ, ክትትል እና ግምገማ ከፍተኛ ኦፊሰር",P,Service,Finance and Administration Services
"Planning, Monitoring and Systems Head","እቅድ, ክትትል እና ስርዓቶች ኃላፊ",P,Service,Finance and Administration Services
"Planning, Monitoring, Evaluation & Reporting Officer",የእቅድ፣ ክትትል፣ ግምገማ እና ሪፖርት ኦፊሰር,P,Service,Finance and Administration Services
"Planning, Monitoring, Evaluation & Reporting Senior Expert",ማቀድ፣ ክትትል፣ ግምገማ እና ሪፖርት ማድረግ ከፍተኛ ባለሙያ,P,Service,Finance and Administration Services
"Planning, Monitoring, Evaluation and Learning Officer",የዕቅድ፣ ክትትል፣ ግምገማ እና ትምህርት ኦፊሰር,P,Service,Finance and Administration Services
"Planning, Monitoring, Evaluation and Operation Assistance Manager",የእቅድ፣ ክትትል፣ ግምገማ እና ኦፕሬሽን እገዛ አስተዳዳሪ,P,Service,Finance and Administration Services
"Planning, Monitoring, Evaluation and Reporting Coordinator","እቅድ, ክትትል, ግምገማ እና ሪፖርት አስተባባሪ",P,Service,Finance and Administration Services
"Planning, Monitoring, Evaluations and Reporting (PMER) Director",እቅድ፣ ክትትል፣ ግምገማዎች እና ሪፖርት ማድረግ (PMER) ዳይሬክተር,P,Service,Finance and Administration Services
"Planning, Programming, Monitoring and Evaluation Manager",የእቅድ፣ የፕሮግራም አወጣጥ፣ ክትትል እና ግምገማ አስተዳዳሪ,P,Service,Finance and Administration Services
Plant & Equipment Administration & Maintenance,የእፅዋት እና መሳሪያዎች አስተዳደር እና ጥገና,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant & Equipment Head,የእፅዋት እና መሳሪያዎች ኃላፊ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant & Machinery Admin & Maintenance Clerk,የእፅዋት እና ማሽነሪ አስተዳዳሪ እና ጥገና ጽሕፈት ቤት,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant Accounts Controller,የእፅዋት መለያዎች ተቆጣጣሪ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant Administration & Maintenance Coordinator,የእፅዋት አስተዳደር እና ጥገና አስተባባሪ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant Administration Department Manager,የእፅዋት አስተዳደር መምሪያ ሥራ አስኪያጅ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant and Equipment Administration Maintenance Department Manager,የእጽዋት እና እቃዎች አስተዳደር የጥገና መምሪያ ሥራ አስኪያጅ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant Bitumen Heater & Boiler Man,የእፅዋት ሬንጅ ማሞቂያ እና ቦይለር ሰው,P,Manufacturing,"Manufacture of concrete, cement and resin products"
Plant Controller-Finance,የእፅዋት ተቆጣጣሪ-ፋይናንስ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant Department Manager,የእፅዋት መምሪያ ሥራ አስኪያጅ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant Director,የእፅዋት ዳይሬክተር,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant Electrician,የእፅዋት ኤሌክትሪክ ባለሙያ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant Engineer,የእፅዋት መሐንዲስ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant Head/Manager,የዕፅዋት ኃላፊ/አስተዳዳሪ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant HR & Administration Executive,የእፅዋት የሰው ኃይል እና አስተዳደር ሥራ አስፈፃሚ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant HR Business Partner,የእፅዋት የሰው ኃይል ንግድ አጋር,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant Lead Electrician,የእፅዋት እርሳስ ኤሌክትሪክ ባለሙያ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Plant Legal Advisor and Attorney,የእፅዋት የህግ አማካሪ እና ጠበቃ,P,Service,Other services
Plant Maintenance Head,የእፅዋት እንክብካቤ ኃላፊ,P,Manufacturing,General maintenance
Plant Manager,የእፅዋት አስተዳዳሪ,P,Manufacturing,Another unmentioned factory works
Plant Mechanic /Crusher Asphalt and Batching,የእፅዋት ሜካኒክ / ክሬሸር አስፋልት እና ባቺንግ,P,Manufacturing,"Manufacture of concrete, cement and resin products"
Plant Nursery Manager,የእፅዋት መዋለ ህፃናት አስተዳዳሪ,P,agriculture,"Vegetable, Fruit Production, Seedling and Plant Seeds"
Plant Operation Data Analisist,የእፅዋት አሠራር መረጃ ተንታኝ,P,Manufacturing,Another unmentioned factory works
Plant Operation Manager,የእፅዋት ሥራ አስኪያጅ,P,Manufacturing,Another unmentioned factory works
Plant Operator,የእፅዋት ኦፕሬተር,P,Manufacturing,Another unmentioned factory works
Plant Supply Chain Manager,የእፅዋት አቅርቦት ሰንሰለት አስተዳዳሪ,P,Manufacturing,Another unmentioned factory works
Planting Senior Supervisor,ከፍተኛ ተቆጣጣሪ መትከል,P,agriculture,Agriculture
Plasma Machine operator,የፕላዝማ ማሽን ኦፕሬተር,P,Manufacturing,"Manufacture of broadcast service, radio, loudspeakers, recording and imaging equipment, dish, decoder set top box, etc"
Plasterer,ፕላስተር,P,Construction,Building finishing works
Plastic Blowing Machine Operator,የፕላስቲክ ንፋስ ማሽን ኦፕሬተር,P,Manufacturing,Manufacturing of plastic products
Plastic bottle designer,የፕላስቲክ ጠርሙስ ዲዛይነር,P,Manufacturing,Manufacturing of plastic products
Plastic industry technician and machine repair man,የፕላስቲክ ኢንዱስትሪ ቴክኒሻን እና የማሽን ጥገና ሰው,P,Manufacturing,Manufacturing of plastic products
Plastic Injection Factory Head,የፕላስቲክ መርፌ ፋብሪካ ራስ,P,Manufacturing,Manufacturing of plastic products
Plastic Production Division Head,የፕላስቲክ ምርት ክፍል ኃላፊ,P,Manufacturing,Manufacturing of plastic products
