"informal work in eng","Profession in Amharic","professional/ formal","sector","sub sector","nel_model_label","n_matches","best_score","best_confidence","m1_label","m1_uri","m1_score","m1_confidence","m2_label","m2_uri","m2_score","m2_confidence","m3_label","m3_uri","m3_score","m3_confidence","m4_label","m4_uri","m4_score","m4_confidence","m5_label","m5_uri","m5_score","m5_confidence","subsector_isco4","filter_applied","n_dropped","dropped_labels"
"Junior Real Estate Field Sales","ጁኒየር ሪል እስቴት የመስክ ሽያጭ","P","Service","Estimating the cost of housing sales and collecting rental income","minilm","5","0.7665","low_similarity","real estate agent","http://data.europa.eu/esco/occupation/8ec8df02-e9dd-43b7-b416-5846ae0414ab","0.7665","low_similarity","real estate manager","http://data.europa.eu/esco/occupation/0f5b4653-50b2-413a-826d-39d447480c21","0.7555","low_similarity","real estate investor","http://data.europa.eu/esco/occupation/7e46c066-2b98-4eaf-bed6-9848c79902e0","0.7550","low_similarity","commercial sales representative","http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2","0.7455","low_similarity","real estate surveyor","http://data.europa.eu/esco/occupation/bbefa1b2-521e-4d87-a7ad-9bbd0b32e271","0.7376","low_similarity","3334.0","yes","0",""
"Junior Receptionist","ጁኒየር ተቀባይ","P","Service","Other services","minilm","5","0.9308","high_confidence","receptionist","http://data.europa.eu/esco/occupation/f7b04542-d8c7-42db-8475-e63b507cce82","0.9308","high_confidence","hospitality establishment receptionist","http://data.europa.eu/esco/occupation/82025c02-9082-416c-998b-f51eb0359ee6","0.8763","high_confidence","front line medical receptionist","http://data.europa.eu/esco/occupation/3469cbcc-5332-41dc-977a-29cf1b7ef7be","0.8564","high_confidence","veterinary receptionist","http://data.europa.eu/esco/occupation/f00154a5-d27f-429e-b9a4-1d65c672cee7","0.8378","low_similarity","room attendant","http://data.europa.eu/esco/occupation/731ecac4-06e8-4ec2-a559-101fecbd9183","0.7965","low_similarity","","no","0",""
"Junior Recruiter","ጁኒየር መልማይ","U","Service","Employment agencies and recruitment agencies","minilm","0","","","","","","","","","","","","","","","","","","","","","","","3333.0","yes","5","drafter; marine engineering drafter; recruitment consultant; navy officer; army major"
"Junior Registrar and Student Support","የጁኒየር ሬጅስትራር እና የተማሪ ድጋፍ","U","Service","Primary and secondary education","minilm","5","0.8058","low_similarity","student financial support coordinator","http://data.europa.eu/esco/occupation/c227dcff-dd84-487e-a171-da3d919129bb","0.8058","low_similarity","civil registrar","http://data.europa.eu/esco/occupation/578470d7-1848-44cd-a769-96cdd64b2c37","0.7956","low_similarity","academic support officer","http://data.europa.eu/esco/occupation/2ddde737-28f3-444d-b1f8-ef12cc2df3c7","0.7848","low_similarity","learning support teacher","http://data.europa.eu/esco/occupation/114c5a6c-1869-4a67-8ec0-660ec303f8cc","0.7503","low_similarity","further education principal","http://data.europa.eu/esco/occupation/2c1ed9dd-9799-4882-8bfa-40b841f7d4a1","0.7352","low_similarity","","no","0",""
"Junior Regulatory Officer","ጁኒየር የቁጥጥር ኦፊሰር","P","Economic Infrastructure","Legal Metrology","minilm","1","0.8365","low_similarity","licensing officer","http://data.europa.eu/esco/occupation/39c89133-bd2a-45db-b3eb-529b94daeeaf","0.8365","low_similarity","","","","","","","","","","","","","","","","","3359.0","yes","4","regulatory affairs manager; policy officer; legal policy officer; aviation safety officer"
"junior reporter","ጁኒየር ዘጋቢ","P","Sport Culture and tourism","Journalism","minilm","3","0.8387","low_similarity","journalist","http://data.europa.eu/esco/occupation/a47f82d3-4cf7-4abf-bb36-2c8cbad28234","0.8387","low_similarity","business journalist","http://data.europa.eu/esco/occupation/db3da11f-67a0-415f-b785-81f33d3be810","0.7936","low_similarity","sports journalist","http://data.europa.eu/esco/occupation/70b5896f-988e-4084-9c19-2c82bd5cc9a5","0.7907","low_similarity","","","","","","","","","2642.0","yes","2","court reporter; journalism lecturer"
"Junior Reward & Employee Services Officer","የጁኒየር ሽልማት እና የሰራተኛ አገልግሎት ኦፊሰር","P","Service","Other services","minilm","5","0.7955","low_similarity","human resources officer","http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb","0.7955","low_similarity","civil service administrative officer","http://data.europa.eu/esco/occupation/ffade2f4-2528-4dfd-b36a-6e4092be08ed","0.7930","low_similarity","juvenile correctional officer","http://data.europa.eu/esco/occupation/6e36bf67-9df2-4d68-8f78-fca1d34acc0b","0.7880","low_similarity","promotion assistant","http://data.europa.eu/esco/occupation/21af40bb-2ae3-4fc7-9b28-d2cdd8308912","0.7805","low_similarity","procurement support officer","http://data.europa.eu/esco/occupation/c9b2b0a7-0adc-4ca7-bf7c-dc95e18aeac7","0.7789","low_similarity","","no","0",""
"Junior Safety Engineer","ጁኒየር የደህንነት መሐንዲስ","P","Service","Occupational Safety and Health Care Consulting Service","minilm","1","0.8380","low_similarity","health and safety officer","http://data.europa.eu/esco/occupation/789517fb-95ee-43d1-9530-c2860be1a439","0.8380","low_similarity","","","","","","","","","","","","","","","","","2263.0","yes","4","health and safety engineer; construction safety manager; aviation safety officer; mine health and safety engineer"
"Junior Snack Processing Operator","ጁኒየር መክሰስ ፕሮሰሲንግ ኦፕሬተር","P","Manufacturing","Manufacture of almond/ peanut/ foods","minilm","0","","","","","","","","","","","","","","","","","","","","","","","7514.0","yes","5","food production operator; food production manager; food technologist; food analyst; dairy processing operator"
"Junior Social Development Officer","ጁኒየር ሶሻል ዴቨሎፕመንት አፊሰር","P","Service","Social work services","minilm","5","0.8702","high_confidence","community development officer","http://data.europa.eu/esco/occupation/39e9fc8f-02bd-4577-b603-2dc96204ce74","0.8702","high_confidence","community development social worker","http://data.europa.eu/esco/occupation/ff2c1183-3fd7-40c7-8ddc-b20b100363c3","0.8557","high_confidence","social services policy officer","http://data.europa.eu/esco/occupation/d6ef013f-57e9-4100-bbe5-3e4930664dee","0.8503","high_confidence","child care social worker","http://data.europa.eu/esco/occupation/0d423a2e-6fb7-4704-8544-bd6c522b3c62","0.8264","low_similarity","social work supervisor","http://data.europa.eu/esco/occupation/b73f4ce5-13fa-43a0-bbf6-01d7315849b8","0.8253","low_similarity","","no","0",""
"Junior Springboot Developer","ICT","P","ICT and digital work","Software Design Development and Implementation Works","minilm","3","0.7469","low_similarity","user interface developer","http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c","0.7469","low_similarity","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","0.7396","low_similarity","mobile application developer","http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c","0.7318","low_similarity","","","","","","","","","2512.0","yes","2","e-learning developer; product development engineering technician"
"Junior Statician /Economist","ጁኒየር ስታቲሺያን / ኢኮኖሚስት","P","Service","Consulting service around social science","minilm","3","0.8367","low_similarity","economist","http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c","0.8367","low_similarity","business economics researcher","http://data.europa.eu/esco/occupation/12ff7f9c-c5b5-4d4a-b585-c350dd1400eb","0.7734","low_similarity","economic adviser","http://data.europa.eu/esco/occupation/56afc09a-75a0-49c7-a5cb-256df45d8f2d","0.7532","low_similarity","","","","","","","","","2632.0","yes","2","economics lecturer; ecologist"
"Junior Store Custodian","ጁኒየር መደብር ጠባቂ","P","Business","Retail trade in specialized stores","minilm","5","0.7765","low_similarity","department store manager","http://data.europa.eu/esco/occupation/7dec82e0-3bfc-4c48-812d-c2095bfe05bb","0.7765","low_similarity","store detective","http://data.europa.eu/esco/occupation/71c3a49a-e55e-42ce-bd3f-31f37d3cfab6","0.7687","low_similarity","cashier","http://data.europa.eu/esco/occupation/2b871272-bd61-4206-bd1a-0b96d7023098","0.7642","low_similarity","shop supervisor","http://data.europa.eu/esco/occupation/bdfb48e0-79dc-4b63-8470-db2e03b37326","0.7574","low_similarity","retail department manager","http://data.europa.eu/esco/occupation/a79d9e58-36be-4e67-a4db-ea6c8ff445fc","0.7553","low_similarity","","no","0",""
"Junior Street Videographers","ጁኒየር የመንገድ ቪዲዮ አንሺዎች","P","Tourism and art","Filmmaking and related work","minilm","5","0.7809","low_similarity","photography teacher","http://data.europa.eu/esco/occupation/46db7e2e-d44d-412a-9a80-02d43111aca8","0.7809","low_similarity","video technician","http://data.europa.eu/esco/occupation/a59feab2-9bc9-4b25-97cf-995998164502","0.7784","low_similarity","video and motion picture producer","http://data.europa.eu/esco/occupation/3b6bea7d-36f4-44fb-ac73-d1cc8a198dcb","0.7576","low_similarity","street performer","http://data.europa.eu/esco/occupation/61e278a3-2c27-4c18-a827-11e2326b33ae","0.7540","low_similarity","video and motion picture director","http://data.europa.eu/esco/occupation/1a7fb683-6544-4442-b54c-ec72ef468ff0","0.7519","low_similarity","","no","0",""
"Junior Supply Chain Officer","የጁኒየር አቅርቦት ሰንሰለት ኦፊሰር","P","Service","Logistics Supply and Support Services (outside of other business sectors)","minilm","5","0.8465","low_similarity","supply chain manager","http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74","0.8465","low_similarity","supply chain assistant","http://data.europa.eu/esco/occupation/c8b296be-54ae-48cf-be21-031fa8457937","0.8314","low_similarity","inventory coordinator","http://data.europa.eu/esco/occupation/d7a9f9e0-e2f5-4804-a0e0-b21ebb1403ee","0.8146","low_similarity","procurement support officer","http://data.europa.eu/esco/occupation/c9b2b0a7-0adc-4ca7-bf7c-dc95e18aeac7","0.8108","low_similarity","chief marketing officer","http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321","0.8064","low_similarity","","no","0",""
"Junior Surveillance","ጁኒየር ክትትል","P","Service","Security Service","minilm","1","0.7302","low_similarity","security alarm investigator","http://data.europa.eu/esco/occupation/9c61bba4-56b7-4846-9f4e-b1f2decf3e7e","0.7302","low_similarity","","","","","","","","","","","","","","","","","5414.0","yes","4","aviation surveillance and code coordination manager; private detective; police detective; video technician"
"Junior Surveying","ጁኒየር ዳሰሳ","P","Economic Infrastructure","Surveying & Drafting","minilm","5","0.8586","high_confidence","surveying technician","http://data.europa.eu/esco/occupation/624986f9-21ef-4cdf-8cf6-8407a337ec2f","0.8586","high_confidence","land surveyor","http://data.europa.eu/esco/occupation/d8e502b4-1be6-4d10-a224-151688f8f0c8","0.8078","low_similarity","hydrographic surveying technician","http://data.europa.eu/esco/occupation/668943cc-c454-4a1b-a296-2fcb524a6222","0.8041","low_similarity","soil surveying technician","http://data.europa.eu/esco/occupation/84cb6e91-ce11-409e-9306-23c9698631af","0.8033","low_similarity","mine surveying technician","http://data.europa.eu/esco/occupation/9ce12690-c3bf-4135-b7a5-b666bb8c68f5","0.8010","low_similarity","","no","0",""
"Junior tailor","የልብስ ሰፊ ባለሙያ","U","Manufacturing","Prepared clothes (hairdressing Excluding) manufacturing","minilm","2","0.9201","high_confidence","tailor","http://data.europa.eu/esco/occupation/978ae3a2-0831-415a-8396-b84dde656fc5","0.9201","high_confidence","dressmaker","http://data.europa.eu/esco/occupation/5589e8e0-48d9-4193-8c85-86ba9f17e0e9","0.7770","low_similarity","","","","","","","","","","","","","7531.0","yes","3","clothing fashion designer; fashion designer; costume designer"
"Junior Tax Calculater","ጁኒየር ታክስ ማስያ","P","Service","Accounting and auditing Jobs","minilm","1","0.7663","low_similarity","tax advisor","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723","0.7663","low_similarity","","","","","","","","","","","","","","","","","2411.0","yes","4","tax policy analyst; tax compliance officer; tax inspector; tax clerk"
"Junior Tax Declaration Information Organization Officer","የጁኒየር ታክስ መግለጫ የመረጃ ድርጅት ኦፊሰር","P","Service","Accounting and auditing Jobs","minilm","1","0.8359","low_similarity","tax advisor","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723","0.8359","low_similarity","","","","","","","","","","","","","","","","","2411.0","yes","4","tax compliance officer; tax inspector; chief information officer; tax clerk"
"Junior Teacher for Affan Oromo","ጀማሪ መምህር ለአፋን ኦሮሞ","P","Service","Primary and secondary education","minilm","5","0.7839","low_similarity","secondary school teacher","http://data.europa.eu/esco/occupation/5efb2c08-ba3a-4659-a2e4-1883f54e77b6","0.7839","low_similarity","early years teacher","http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83","0.7781","low_similarity","primary school teacher","http://data.europa.eu/esco/occupation/03d79393-7b30-4159-945b-01963eddd302","0.7687","low_similarity","secondary school head teacher","http://data.europa.eu/esco/occupation/53db8c0d-7aed-47aa-a339-eb9d485d25dc","0.7654","low_similarity","further education teacher","http://data.europa.eu/esco/occupation/6afe39e2-2674-45db-b05c-a6cab02fe25b","0.7591","low_similarity","","no","0",""
"JUNIOR TEAM COORDINATOR","ጀማሪ ቡድን አስተባባሪ","P","Service","Special event coordination","minilm","0","","","","","","","","","","","","","","","","","","","","","","","3332.0","yes","5","sports programme coordinator; child care coordinator; move coordinator; youth centre manager; admissions coordinator"
"Junior Telemarketing","ጁኒየር ቴሌማርኬቲንግ","U","Service","Advertising","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2431.0","yes","5","youth information worker; call centre supervisor; chief marketing officer; telecommunications technician; call centre analyst"
"Junior Tender Engineer (Officer)","የጨረታ ሥራ መሃንዲስ","P","Service","Architecture Construction and Related Consultations","minilm","5","0.8031","low_similarity","military engineer","http://data.europa.eu/esco/occupation/555235ce-8c45-409b-a6c9-83e69c2d2bce","0.8031","low_similarity","ship duty engineer","http://data.europa.eu/esco/occupation/6ce86c90-36cc-43ef-a1e0-885d8151f976","0.7983","low_similarity","drilling engineer","http://data.europa.eu/esco/occupation/3f863faa-c045-4f05-a419-b19182aea866","0.7977","low_similarity","contract engineer","http://data.europa.eu/esco/occupation/836f0a96-7546-4003-9fc8-714fc79199d4","0.7919","low_similarity","maintenance and repair engineer","http://data.europa.eu/esco/occupation/615920c5-4f63-4eb3-8b60-afaaed3ab1ff","0.7854","low_similarity","","no","0",""
"Junior Tender Officer","ጀማሪ የጨረታ ኦፊሰር","P","Service","Architecture Construction and Related Consultations","minilm","5","0.7958","low_similarity","navy officer","http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90","0.7958","low_similarity","loan officer","http://data.europa.eu/esco/occupation/8e185c49-704e-49c0-8584-a7e0b618f628","0.7899","low_similarity","defence administration officer","http://data.europa.eu/esco/occupation/8b26eec6-7497-4218-8364-9b5983b04ae7","0.7860","low_similarity","special forces officer","http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4","0.7852","low_similarity","colonel","http://data.europa.eu/esco/occupation/b864c9a3-ef6e-46a0-a40c-66188f74dfa7","0.7813","low_similarity","","no","0",""
"Junior Tour Operator","ጁኒየር ጉብኝት ኦፕሬተር","P","Tourism and art","Travel Agent and Related Services","minilm","3","0.9167","high_confidence","tour operator representative","http://data.europa.eu/esco/occupation/b5d76ddd-f59a-491a-9543-f6c0e2d8a950","0.9167","high_confidence","tour organiser","http://data.europa.eu/esco/occupation/5b9a678a-7c35-4c50-a804-754b82652ee6","0.8611","high_confidence","travel consultant","http://data.europa.eu/esco/occupation/291da1ab-1f90-426d-bbc5-60d0fa7d608b","0.7651","low_similarity","","","","","","","","","4221.0","yes","2","tour operator manager; road roller operator"
"Junior Trainer","ጁኒየር አሰልጣኝ","P","Service","Other not-mentioned educational services (private tutoring, etc.)","minilm","1","0.8563","high_confidence","police trainer","http://data.europa.eu/esco/occupation/6b304370-0112-4881-a1bd-27d8df645d00","0.8563","high_confidence","","","","","","","","","","","","","","","","","2359.0","yes","4","corporate trainer; horse trainer; dog trainer; fitness instructor"
"Junior TV program host","ጁኒየር የቲቪ ፕሮግራም አስተናጋጅ","P","Tourism and art","Motion Picture Works","minilm","5","0.7992","low_similarity","broadcasting programme director","http://data.europa.eu/esco/occupation/7f0d69cf-8b02-4a84-865a-37585dea9b43","0.7992","low_similarity","presenter","http://data.europa.eu/esco/occupation/09a9a956-db70-436f-8398-d85a17f6cdfe","0.7757","low_similarity","broadcast technician","http://data.europa.eu/esco/occupation/fe4a72af-6206-4d86-90c1-b5fb4b5ba2b2","0.7587","low_similarity","host/hostess","http://data.europa.eu/esco/occupation/a6007269-912a-4445-b792-b4d5fe016bb2","0.7371","low_similarity","sports programme coordinator","http://data.europa.eu/esco/occupation/7b629a14-09d0-417e-8181-7683923b4e5e","0.7248","low_similarity","","no","0",""
"Junior UI/UX intern","ጁኒየር UI/UX ተለማማጅ","P","ICT and digital work","Software Design Development and Implementation Works","minilm","2","0.7618","low_similarity","user interface developer","http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c","0.7618","low_similarity","user interface designer","http://data.europa.eu/esco/occupation/96e20037-0a25-4bf6-a25e-808d1605d890","0.7305","low_similarity","","","","","","","","","","","","","2512.0","yes","3","education administrator; instructional designer; tutor"
"Junior Underwriter Trainee","ጁኒየር ደራሲ ሰልጣኝ","P","Service","Finance and Administration Services","minilm","5","0.7658","low_similarity","securities underwriter","http://data.europa.eu/esco/occupation/8a3498c7-470a-4067-b48e-f330d9b702e8","0.7658","low_similarity","insurance underwriter","http://data.europa.eu/esco/occupation/e937449a-d9e0-4ab7-9ea5-4d3ac673be6d","0.7583","low_similarity","mortgage loan underwriter","http://data.europa.eu/esco/occupation/ab5a5073-453c-4a93-aff7-345a19f8b954","0.7412","low_similarity","loan officer","http://data.europa.eu/esco/occupation/8e185c49-704e-49c0-8584-a7e0b618f628","0.7391","low_similarity","youth worker","http://data.europa.eu/esco/occupation/b7507136-e71e-47e8-b873-e77d5cdf2922","0.7368","low_similarity","","no","0",""
"Junior utility Mechanic","የጁኒየር መገልገያ መካኒክ","P","Service","General maintenance","minilm","5","0.7946","low_similarity","electrical mechanic","http://data.europa.eu/esco/occupation/5d009d45-3bb9-4e33-8760-294f59adec8c","0.7946","low_similarity","bicycle mechanic","http://data.europa.eu/esco/occupation/336cf331-8082-4a0c-bf5f-e7c54706211c","0.7815","low_similarity","utilities inspector","http://data.europa.eu/esco/occupation/3288a2fe-4934-47c8-ad0b-11b16c9cd461","0.7737","low_similarity","industrial machinery mechanic","http://data.europa.eu/esco/occupation/269c47e7-9017-4aa6-bce8-49e89a696a64","0.7651","low_similarity","sewerage maintenance technician","http://data.europa.eu/esco/occupation/40260ee8-c94a-4dc8-a562-f9fbc2fe13b1","0.7483","low_similarity","","no","0",""
"Junior VFX Compositor","ጁኒየር ቪኤፍኤክስ አቀናባሪ","P","Tourism and art","Motion Picture Works","minilm","5","0.6814","low_similarity","viticulture adviser","http://data.europa.eu/esco/occupation/b9e51ff4-d7fb-4653-bc72-65086ffc6e65","0.6814","low_similarity","conservator","http://data.europa.eu/esco/occupation/7556c748-15b4-4e44-97d9-00d885d4cd7d","0.6556","low_similarity","special effects artist","http://data.europa.eu/esco/occupation/b1c0714d-77f1-4732-8fd8-9f0739fb9974","0.6514","low_similarity","reprographics technician","http://data.europa.eu/esco/occupation/77de6c7d-27bf-4bc2-8c80-5d6f6d9811f4","0.6481","low_similarity","video technician","http://data.europa.eu/esco/occupation/a59feab2-9bc9-4b25-97cf-995998164502","0.6455","low_similarity","","no","0",""
"Junior video editor intern","ጁኒየር ቪዲዮ አርታዒ ተለማማጅ","P","Tourism and art","Motion Picture Works","minilm","5","0.8153","low_similarity","video and motion picture editor","http://data.europa.eu/esco/occupation/ac734172-ae9a-41ab-80a0-a7b33694e027","0.8153","low_similarity","assistant video and motion picture director","http://data.europa.eu/esco/occupation/71898b81-fc2f-4a97-826d-f45e49a8160a","0.8020","low_similarity","video and motion picture producer","http://data.europa.eu/esco/occupation/3b6bea7d-36f4-44fb-ac73-d1cc8a198dcb","0.7946","low_similarity","video technician","http://data.europa.eu/esco/occupation/a59feab2-9bc9-4b25-97cf-995998164502","0.7871","low_similarity","video and motion picture director","http://data.europa.eu/esco/occupation/1a7fb683-6544-4442-b54c-ec72ef468ff0","0.7730","low_similarity","","no","0",""
"Junior Videographer","ጁኒየር ቪዲዮ አንሺ","P","Tourism and art","Motion Picture Works","minilm","5","0.8483","low_similarity","video technician","http://data.europa.eu/esco/occupation/a59feab2-9bc9-4b25-97cf-995998164502","0.8483","low_similarity","video and motion picture producer","http://data.europa.eu/esco/occupation/3b6bea7d-36f4-44fb-ac73-d1cc8a198dcb","0.8178","low_similarity","photography teacher","http://data.europa.eu/esco/occupation/46db7e2e-d44d-412a-9a80-02d43111aca8","0.8051","low_similarity","video and motion picture director","http://data.europa.eu/esco/occupation/1a7fb683-6544-4442-b54c-ec72ef468ff0","0.8001","low_similarity","assistant video and motion picture director","http://data.europa.eu/esco/occupation/71898b81-fc2f-4a97-826d-f45e49a8160a","0.7936","low_similarity","","no","0",""
"Junior Warehouse Officer","ጁኒየር መጋዘን ኦፊሰር","P","Logistics, transportation and communication","Stroage and warehousing service","minilm","5","0.8875","high_confidence","warehouse manager","http://data.europa.eu/esco/occupation/2f5de1ab-eddf-4715-8193-e994912c22ea","0.8875","high_confidence","warehouse worker","http://data.europa.eu/esco/occupation/bea705fe-06ac-4147-b8e0-6e8ac1208d8f","0.8837","high_confidence","customs officer","http://data.europa.eu/esco/occupation/5f16819d-50b9-475b-a2d8-607ee6d99a9d","0.8221","low_similarity","leather goods warehouse operator","http://data.europa.eu/esco/occupation/31db6bd9-ee84-4a57-ac9e-87e243ba1c69","0.8037","low_similarity","airport operations officer","http://data.europa.eu/esco/occupation/9967986b-570d-4db1-a179-aad7d1623ea8","0.8029","low_similarity","","no","0",""
"Junior Wash Officer","ጁኒየር ማጠቢያ መኮንን","P","Service","Sewage and waste disposal; Health care and similar jobs","minilm","5","0.8110","low_similarity","laundry worker","http://data.europa.eu/esco/occupation/0da51178-e386-4534-ae71-15ba789ad756","0.8110","low_similarity","laundry and dry cleaning manager","http://data.europa.eu/esco/occupation/44cd9d91-5552-4735-86b8-4b2c5d39efc8","0.8026","low_similarity","laundry workers supervisor","http://data.europa.eu/esco/occupation/dfb93ddb-ce34-4d2e-a178-541d45a7d98b","0.8022","low_similarity","police officer","http://data.europa.eu/esco/occupation/5793c124-c037-47b2-85b6-dd4a705968dc","0.7885","low_similarity","navy officer","http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90","0.7846","low_similarity","","no","0",""
"Junior Water Supply/ Sanitary Engineer I","ጁኒየር የውሃ አቅርቦት/ የንፅህና መሐንዲስ I","P","Economic Infrastructure","Water construction","minilm","5","0.8896","high_confidence","water engineer","http://data.europa.eu/esco/occupation/fcf9024e-277c-43c7-8ec8-8903e5c9c576","0.8896","high_confidence","water systems engineering technician","http://data.europa.eu/esco/occupation/13331bd9-0599-47c0-9812-29650c218de3","0.8741","high_confidence","wastewater engineer","http://data.europa.eu/esco/occupation/9740933e-e04a-41f6-af1f-a6d58c7eb0ec","0.8666","high_confidence","water conservation technician","http://data.europa.eu/esco/occupation/0f898624-9b89-41ba-adcf-9360ade85a62","0.8499","low_similarity","water conservation technician supervisor","http://data.europa.eu/esco/occupation/60d77070-2cf4-4883-b44d-91e8ce54db86","0.8389","low_similarity","","no","0",""
"Junior Welder","ጁኒየር ብየዳ","U","Manufacturing","Manufacture of General Mechanical Engineering Products for Metal Painting works","minilm","5","0.9065","high_confidence","welder","http://data.europa.eu/esco/occupation/7aedaa07-3884-4c5b-88f9-80997b2aa54b","0.9065","high_confidence","welding engineer","http://data.europa.eu/esco/occupation/16cb1f72-3d8c-4404-84ec-9c31fbd7c86c","0.8565","high_confidence","pipe welder","http://data.europa.eu/esco/occupation/2ff73126-7aff-4233-9d9c-d8725e1c6822","0.8500","high_confidence","spot welder","http://data.europa.eu/esco/occupation/97dadd59-d1cb-4fef-81a7-d92eb15572e2","0.8487","low_similarity","welding coordinator","http://data.europa.eu/esco/occupation/cdef4961-fcc2-4e00-bfe8-4480b33aa6f3","0.8486","low_similarity","","no","0",""
"Junor Carpentry","ጁንየር አናጢነት","U","Construction","Carpenter, builder, and other similar construction works","minilm","0","","","","","","","","","","","","","","","","","","","","","","","7111.0","yes","5","motor vehicle assembler; vessel engine assembler; motor vehicle body assembler; motor vehicle upholsterer; marine upholsterer"
"Kefeta Project Disability Mainstreaming Officer - KpDMO","የቀፈታ ፕሮጀክት አካል ጉዳተኝነት ዋና ዳይሬክተር","P","Service","Social work services","minilm","5","0.7693","low_similarity","disability support worker","http://data.europa.eu/esco/occupation/9c55aa23-e3f2-4c00-8c90-5ed5204951a3","0.7693","low_similarity","rehabilitation support worker","http://data.europa.eu/esco/occupation/dc69f2ed-ebe9-43da-bf9d-31aac874d4c2","0.7371","low_similarity","academic support officer","http://data.europa.eu/esco/occupation/2ddde737-28f3-444d-b1f8-ef12cc2df3c7","0.7213","low_similarity","project support officer","http://data.europa.eu/esco/occupation/5ccb2c34-e860-43a5-9869-342487518115","0.7023","low_similarity","procurement support officer","http://data.europa.eu/esco/occupation/c9b2b0a7-0adc-4ca7-bf7c-dc95e18aeac7","0.7019","low_similarity","","no","0",""
"Kembategna and Sidamenga Translators","የከምባቴኛ እና የሲዳሜንጋ ተርጓሚዎች","I","Service","Other services","minilm","5","0.7459","low_similarity","translator","http://data.europa.eu/esco/occupation/1a07bd7d-2e1d-4930-a84a-1a442b8f2a44","0.7459","low_similarity","classical languages lecturer","http://data.europa.eu/esco/occupation/fbc9ab3e-18f1-4b7b-8cd5-d6374ed5e9a9","0.6838","low_similarity","modern languages lecturer","http://data.europa.eu/esco/occupation/be3c021d-bd93-45a0-ad32-e8fa8e0d17ef","0.6738","low_similarity","translation agency manager","http://data.europa.eu/esco/occupation/83588a0e-b63d-4483-a884-06f1e3a1a4be","0.6705","low_similarity","interpreter","http://data.europa.eu/esco/occupation/23e692a9-a242-4d4f-988f-ed562f757864","0.6684","low_similarity","","no","0",""
"Keyboard and guitar trainer","የቁልፍ ሰሌዳ እና ጊታር አሰልጣኝ","U","Tourism and art","Culture and Arts Education","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2355.0","yes","5","keyboard musical instrument maker; guitar maker; piano maker; personal trainer; musical instrument technician"
"Keyboardist","የቁልፍ ሰሌዳ ባለሙያ","U","Tourism and art","Music Band","minilm","2","0.7966","low_similarity","musician","http://data.europa.eu/esco/occupation/f6803a58-91d9-4251-9a07-09fc387cec16","0.7966","low_similarity","music arranger","http://data.europa.eu/esco/occupation/45170a38-b3ae-4a96-90ff-eb45e55600b6","0.7605","low_similarity","","","","","","","","","","","","","2652.0","yes","3","keyboard musical instrument maker; piano maker; harpsichord maker"
"keyboardist and bassist","ኪቦርድ ባለሙያ እና ባሲስት","U","Tourism and art","Music Band","minilm","4","0.7808","low_similarity","musician","http://data.europa.eu/esco/occupation/f6803a58-91d9-4251-9a07-09fc387cec16","0.7808","low_similarity","music arranger","http://data.europa.eu/esco/occupation/45170a38-b3ae-4a96-90ff-eb45e55600b6","0.7600","low_similarity","music producer","http://data.europa.eu/esco/occupation/5ff7a990-a306-40c2-9224-b2bf7f15b2f9","0.7256","low_similarity","music director","http://data.europa.eu/esco/occupation/13d8b1be-d711-4bbc-a45e-cad605162f41","0.7254","low_similarity","","","","","2652.0","yes","1","keyboard musical instrument maker"
